date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2021-01-12",nation,E92000001,England,277
"2021-01-11",nation,E92000001,England,679
"2021-01-10",nation,E92000001,England,718
"2021-01-09",nation,E92000001,England,698
"2021-01-08",nation,E92000001,England,696
"2021-01-07",nation,E92000001,England,759
"2021-01-06",nation,E92000001,England,734
"2021-01-05",nation,E92000001,England,752
"2021-01-04",nation,E92000001,England,720
"2021-01-03",nation,E92000001,England,602
"2021-01-02",nation,E92000001,England,609
"2021-01-01",nation,E92000001,England,604
"2020-12-31",nation,E92000001,England,625
"2020-12-30",nation,E92000001,England,604
"2020-12-29",nation,E92000001,England,575
"2020-12-28",nation,E92000001,England,570
"2020-12-27",nation,E92000001,England,556
"2020-12-26",nation,E92000001,England,563
"2020-12-25",nation,E92000001,England,527
"2020-12-24",nation,E92000001,England,475
"2020-12-23",nation,E92000001,England,479
"2020-12-22",nation,E92000001,England,483
"2020-12-21",nation,E92000001,England,482
"2020-12-20",nation,E92000001,England,426
"2020-12-19",nation,E92000001,England,407
"2020-12-18",nation,E92000001,England,429
"2020-12-17",nation,E92000001,England,432
"2020-12-16",nation,E92000001,England,358
"2020-12-15",nation,E92000001,England,384
"2020-12-14",nation,E92000001,England,408
"2020-12-13",nation,E92000001,England,361
"2020-12-12",nation,E92000001,England,378
"2020-12-11",nation,E92000001,England,395
"2020-12-10",nation,E92000001,England,375
"2020-12-09",nation,E92000001,England,372
"2020-12-08",nation,E92000001,England,374
"2020-12-07",nation,E92000001,England,354
"2020-12-06",nation,E92000001,England,351
"2020-12-05",nation,E92000001,England,339
"2020-12-04",nation,E92000001,England,412
"2020-12-03",nation,E92000001,England,401
"2020-12-02",nation,E92000001,England,337
"2020-12-01",nation,E92000001,England,349
"2020-11-30",nation,E92000001,England,360
"2020-11-29",nation,E92000001,England,402
"2020-11-28",nation,E92000001,England,379
"2020-11-27",nation,E92000001,England,361
"2020-11-26",nation,E92000001,England,368
"2020-11-25",nation,E92000001,England,424
"2020-11-24",nation,E92000001,England,403
"2020-11-23",nation,E92000001,England,400
"2020-11-22",nation,E92000001,England,407
"2020-11-21",nation,E92000001,England,396
"2020-11-20",nation,E92000001,England,388
"2020-11-19",nation,E92000001,England,397
"2020-11-18",nation,E92000001,England,436
"2020-11-17",nation,E92000001,England,363
"2020-11-16",nation,E92000001,England,359
"2020-11-15",nation,E92000001,England,380
"2020-11-14",nation,E92000001,England,357
"2020-11-13",nation,E92000001,England,358
"2020-11-12",nation,E92000001,England,350
"2020-11-11",nation,E92000001,England,310
"2020-11-10",nation,E92000001,England,318
"2020-11-09",nation,E92000001,England,403
"2020-11-08",nation,E92000001,England,339
"2020-11-07",nation,E92000001,England,333
"2020-11-06",nation,E92000001,England,333
"2020-11-05",nation,E92000001,England,301
"2020-11-04",nation,E92000001,England,278
"2020-11-03",nation,E92000001,England,291
"2020-11-02",nation,E92000001,England,282
"2020-11-01",nation,E92000001,England,285
"2020-10-31",nation,E92000001,England,277
"2020-10-30",nation,E92000001,England,280
"2020-10-29",nation,E92000001,England,249
"2020-10-28",nation,E92000001,England,238
"2020-10-27",nation,E92000001,England,218
"2020-10-26",nation,E92000001,England,222
"2020-10-25",nation,E92000001,England,204
"2020-10-24",nation,E92000001,England,171
"2020-10-23",nation,E92000001,England,188
"2020-10-22",nation,E92000001,England,185
"2020-10-21",nation,E92000001,England,192
"2020-10-20",nation,E92000001,England,171
"2020-10-19",nation,E92000001,England,159
"2020-10-18",nation,E92000001,England,120
"2020-10-17",nation,E92000001,England,160
"2020-10-16",nation,E92000001,England,123
"2020-10-15",nation,E92000001,England,124
"2020-10-14",nation,E92000001,England,100
"2020-10-13",nation,E92000001,England,87
"2020-10-12",nation,E92000001,England,96
"2020-10-11",nation,E92000001,England,103
"2020-10-10",nation,E92000001,England,90
"2020-10-09",nation,E92000001,England,67
"2020-10-08",nation,E92000001,England,75
"2020-10-07",nation,E92000001,England,82
"2020-10-06",nation,E92000001,England,61
"2020-10-05",nation,E92000001,England,59
"2020-10-04",nation,E92000001,England,54
"2020-10-03",nation,E92000001,England,55
"2020-10-02",nation,E92000001,England,63
"2020-10-01",nation,E92000001,England,56
"2020-09-30",nation,E92000001,England,48
"2020-09-29",nation,E92000001,England,43
"2020-09-28",nation,E92000001,England,47
"2020-09-27",nation,E92000001,England,42
"2020-09-26",nation,E92000001,England,35
"2020-09-25",nation,E92000001,England,29
"2020-09-24",nation,E92000001,England,33
"2020-09-23",nation,E92000001,England,52
"2020-09-22",nation,E92000001,England,34
"2020-09-21",nation,E92000001,England,24
"2020-09-20",nation,E92000001,England,27
"2020-09-19",nation,E92000001,England,18
"2020-09-18",nation,E92000001,England,21
"2020-09-17",nation,E92000001,England,24
"2020-09-16",nation,E92000001,England,22
"2020-09-15",nation,E92000001,England,15
"2020-09-14",nation,E92000001,England,17
"2020-09-13",nation,E92000001,England,14
"2020-09-12",nation,E92000001,England,18
"2020-09-11",nation,E92000001,England,10
"2020-09-10",nation,E92000001,England,12
"2020-09-09",nation,E92000001,England,9
"2020-09-08",nation,E92000001,England,9
"2020-09-07",nation,E92000001,England,13
"2020-09-06",nation,E92000001,England,8
"2020-09-05",nation,E92000001,England,12
"2020-09-04",nation,E92000001,England,6
"2020-09-03",nation,E92000001,England,6
"2020-09-02",nation,E92000001,England,8
"2020-09-01",nation,E92000001,England,2
"2020-08-31",nation,E92000001,England,7
"2020-08-30",nation,E92000001,England,6
"2020-08-29",nation,E92000001,England,5
"2020-08-28",nation,E92000001,England,8
"2020-08-27",nation,E92000001,England,8
"2020-08-26",nation,E92000001,England,11
"2020-08-25",nation,E92000001,England,11
"2020-08-24",nation,E92000001,England,5
"2020-08-23",nation,E92000001,England,13
"2020-08-22",nation,E92000001,England,6
"2020-08-21",nation,E92000001,England,7
"2020-08-20",nation,E92000001,England,8
"2020-08-19",nation,E92000001,England,2
"2020-08-18",nation,E92000001,England,7
"2020-08-17",nation,E92000001,England,12
"2020-08-16",nation,E92000001,England,4
"2020-08-15",nation,E92000001,England,11
"2020-08-14",nation,E92000001,England,6
"2020-08-13",nation,E92000001,England,7
"2020-08-12",nation,E92000001,England,6
"2020-08-11",nation,E92000001,England,10
"2020-08-10",nation,E92000001,England,11
"2020-08-09",nation,E92000001,England,8
"2020-08-08",nation,E92000001,England,11
"2020-08-07",nation,E92000001,England,7
"2020-08-06",nation,E92000001,England,9
"2020-08-05",nation,E92000001,England,3
"2020-08-04",nation,E92000001,England,10
"2020-08-03",nation,E92000001,England,14
"2020-08-02",nation,E92000001,England,8
"2020-08-01",nation,E92000001,England,9
"2020-07-31",nation,E92000001,England,10
"2020-07-30",nation,E92000001,England,8
"2020-07-29",nation,E92000001,England,8
