date,areaType,areaCode,areaName,cumDeaths28DaysByDeathDate,cumDeathsByDeathDate,newDeaths28DaysByDeathDate,newDeathsByDeathDate
"2020-11-22",utla,E06000001,Hartlepool,,,,
"2020-11-21",utla,E06000001,Hartlepool,118,135,1,1
"2020-11-20",utla,E06000001,Hartlepool,117,134,1,1
"2020-11-19",utla,E06000001,Hartlepool,116,133,0,0
"2020-11-18",utla,E06000001,Hartlepool,116,133,0,0
"2020-11-17",utla,E06000001,Hartlepool,116,133,1,1
"2020-11-16",utla,E06000001,Hartlepool,115,132,0,0
"2020-11-15",utla,E06000001,Hartlepool,115,132,2,2
"2020-11-14",utla,E06000001,Hartlepool,113,130,1,1
"2020-11-13",utla,E06000001,Hartlepool,112,129,2,2
"2020-11-12",utla,E06000001,Hartlepool,110,127,2,2
"2020-11-11",utla,E06000001,Hartlepool,108,125,0,0
"2020-11-10",utla,E06000001,Hartlepool,108,125,0,0
"2020-11-09",utla,E06000001,Hartlepool,108,125,2,2
"2020-11-08",utla,E06000001,Hartlepool,106,123,2,2
"2020-11-07",utla,E06000001,Hartlepool,104,121,0,1
"2020-11-06",utla,E06000001,Hartlepool,104,120,0,1
"2020-11-05",utla,E06000001,Hartlepool,104,119,1,1
"2020-11-04",utla,E06000001,Hartlepool,103,118,0,0
"2020-11-03",utla,E06000001,Hartlepool,103,118,0,0
"2020-11-02",utla,E06000001,Hartlepool,103,118,1,1
"2020-11-01",utla,E06000001,Hartlepool,102,117,0,0
"2020-10-31",utla,E06000001,Hartlepool,102,117,1,1
"2020-10-30",utla,E06000001,Hartlepool,101,116,1,1
"2020-10-29",utla,E06000001,Hartlepool,100,115,0,0
"2020-10-28",utla,E06000001,Hartlepool,100,115,0,0
"2020-10-27",utla,E06000001,Hartlepool,100,115,0,0
"2020-10-26",utla,E06000001,Hartlepool,100,115,1,1
"2020-10-25",utla,E06000001,Hartlepool,99,114,2,2
"2020-10-24",utla,E06000001,Hartlepool,97,112,0,0
"2020-10-23",utla,E06000001,Hartlepool,97,112,0,0
"2020-10-22",utla,E06000001,Hartlepool,97,112,1,1
"2020-10-21",utla,E06000001,Hartlepool,96,111,2,2
"2020-10-20",utla,E06000001,Hartlepool,94,109,1,1
"2020-10-19",utla,E06000001,Hartlepool,93,108,0,0
"2020-10-18",utla,E06000001,Hartlepool,93,108,2,2
"2020-10-17",utla,E06000001,Hartlepool,91,106,0,0
"2020-10-16",utla,E06000001,Hartlepool,91,106,0,0
"2020-10-15",utla,E06000001,Hartlepool,91,106,0,0
"2020-10-14",utla,E06000001,Hartlepool,91,106,0,0
"2020-10-13",utla,E06000001,Hartlepool,91,106,0,1
"2020-10-12",utla,E06000001,Hartlepool,91,105,0,0
"2020-10-11",utla,E06000001,Hartlepool,91,105,0,0
"2020-10-10",utla,E06000001,Hartlepool,91,105,0,0
"2020-10-09",utla,E06000001,Hartlepool,91,105,0,0
"2020-10-08",utla,E06000001,Hartlepool,91,105,0,0
"2020-10-07",utla,E06000001,Hartlepool,91,105,1,1
"2020-10-06",utla,E06000001,Hartlepool,90,104,0,0
"2020-10-05",utla,E06000001,Hartlepool,90,104,0,0
"2020-10-04",utla,E06000001,Hartlepool,90,104,1,1
"2020-10-03",utla,E06000001,Hartlepool,89,103,0,0
"2020-10-02",utla,E06000001,Hartlepool,89,103,0,0
"2020-10-01",utla,E06000001,Hartlepool,89,103,0,0
"2020-09-30",utla,E06000001,Hartlepool,89,103,0,0
"2020-09-29",utla,E06000001,Hartlepool,89,103,0,0
"2020-09-28",utla,E06000001,Hartlepool,89,103,0,1
"2020-09-27",utla,E06000001,Hartlepool,89,102,0,0
"2020-09-26",utla,E06000001,Hartlepool,89,102,0,0
"2020-09-25",utla,E06000001,Hartlepool,89,102,0,1
"2020-09-24",utla,E06000001,Hartlepool,89,101,0,0
"2020-09-23",utla,E06000001,Hartlepool,89,101,0,0
"2020-09-22",utla,E06000001,Hartlepool,89,101,0,0
"2020-09-21",utla,E06000001,Hartlepool,89,101,0,1
"2020-09-20",utla,E06000001,Hartlepool,89,100,0,0
"2020-09-19",utla,E06000001,Hartlepool,89,100,0,0
"2020-09-18",utla,E06000001,Hartlepool,89,100,0,0
"2020-09-17",utla,E06000001,Hartlepool,89,100,0,1
"2020-09-16",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-15",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-14",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-13",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-12",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-11",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-10",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-09",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-08",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-07",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-06",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-05",utla,E06000001,Hartlepool,89,99,0,0
"2020-09-04",utla,E06000001,Hartlepool,89,99,0,1
"2020-09-03",utla,E06000001,Hartlepool,89,98,0,0
"2020-09-02",utla,E06000001,Hartlepool,89,98,0,0
"2020-09-01",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-31",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-30",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-29",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-28",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-27",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-26",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-25",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-24",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-23",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-22",utla,E06000001,Hartlepool,89,98,0,0
"2020-08-21",utla,E06000001,Hartlepool,89,98,0,1
"2020-08-20",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-19",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-18",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-17",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-16",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-15",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-14",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-13",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-12",utla,E06000001,Hartlepool,89,97,0,0
"2020-08-11",utla,E06000001,Hartlepool,89,97,1,1
"2020-08-10",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-09",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-08",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-07",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-06",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-05",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-04",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-03",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-02",utla,E06000001,Hartlepool,88,96,0,0
"2020-08-01",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-31",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-30",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-29",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-28",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-27",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-26",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-25",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-24",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-23",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-22",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-21",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-20",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-19",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-18",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-17",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-16",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-15",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-14",utla,E06000001,Hartlepool,88,96,0,0
"2020-07-13",utla,E06000001,Hartlepool,88,96,0,1
"2020-07-12",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-11",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-10",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-09",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-08",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-07",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-06",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-05",utla,E06000001,Hartlepool,88,95,0,0
"2020-07-04",utla,E06000001,Hartlepool,88,95,1,1
"2020-07-03",utla,E06000001,Hartlepool,87,94,0,0
"2020-07-02",utla,E06000001,Hartlepool,87,94,0,0
"2020-07-01",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-30",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-29",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-28",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-27",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-26",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-25",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-24",utla,E06000001,Hartlepool,87,94,0,0
"2020-06-23",utla,E06000001,Hartlepool,87,94,0,1
"2020-06-22",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-21",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-20",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-19",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-18",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-17",utla,E06000001,Hartlepool,87,93,0,0
"2020-06-16",utla,E06000001,Hartlepool,87,93,1,1
"2020-06-15",utla,E06000001,Hartlepool,86,92,0,0
"2020-06-14",utla,E06000001,Hartlepool,86,92,0,1
"2020-06-13",utla,E06000001,Hartlepool,86,91,0,0
"2020-06-12",utla,E06000001,Hartlepool,86,91,1,1
"2020-06-11",utla,E06000001,Hartlepool,85,90,1,1
"2020-06-10",utla,E06000001,Hartlepool,84,89,0,0
"2020-06-09",utla,E06000001,Hartlepool,84,89,0,0
"2020-06-08",utla,E06000001,Hartlepool,84,89,0,0
"2020-06-07",utla,E06000001,Hartlepool,84,89,0,0
"2020-06-06",utla,E06000001,Hartlepool,84,89,0,0
"2020-06-05",utla,E06000001,Hartlepool,84,89,2,3
"2020-06-04",utla,E06000001,Hartlepool,82,86,0,0
"2020-06-03",utla,E06000001,Hartlepool,82,86,0,0
"2020-06-02",utla,E06000001,Hartlepool,82,86,0,0
"2020-06-01",utla,E06000001,Hartlepool,82,86,1,1
"2020-05-31",utla,E06000001,Hartlepool,81,85,0,1
"2020-05-30",utla,E06000001,Hartlepool,81,84,0,0
"2020-05-29",utla,E06000001,Hartlepool,81,84,2,2
"2020-05-28",utla,E06000001,Hartlepool,79,82,1,2
"2020-05-27",utla,E06000001,Hartlepool,78,80,2,2
"2020-05-26",utla,E06000001,Hartlepool,76,78,0,1
"2020-05-25",utla,E06000001,Hartlepool,76,77,0,0
"2020-05-24",utla,E06000001,Hartlepool,76,77,0,0
"2020-05-23",utla,E06000001,Hartlepool,76,77,1,1
"2020-05-22",utla,E06000001,Hartlepool,75,76,0,0
"2020-05-21",utla,E06000001,Hartlepool,75,76,0,0
"2020-05-20",utla,E06000001,Hartlepool,75,76,2,2
"2020-05-19",utla,E06000001,Hartlepool,73,74,0,0
"2020-05-18",utla,E06000001,Hartlepool,73,74,3,3
"2020-05-17",utla,E06000001,Hartlepool,70,71,1,1
"2020-05-16",utla,E06000001,Hartlepool,69,70,1,1
"2020-05-15",utla,E06000001,Hartlepool,68,69,1,1
"2020-05-14",utla,E06000001,Hartlepool,67,68,0,0
"2020-05-13",utla,E06000001,Hartlepool,67,68,1,1
"2020-05-12",utla,E06000001,Hartlepool,66,67,1,1
"2020-05-11",utla,E06000001,Hartlepool,65,66,1,1
"2020-05-10",utla,E06000001,Hartlepool,64,65,1,1
"2020-05-09",utla,E06000001,Hartlepool,63,64,3,3
"2020-05-08",utla,E06000001,Hartlepool,60,61,1,1
"2020-05-07",utla,E06000001,Hartlepool,59,60,2,2
"2020-05-06",utla,E06000001,Hartlepool,57,58,2,2
"2020-05-05",utla,E06000001,Hartlepool,55,56,1,1
"2020-05-04",utla,E06000001,Hartlepool,54,55,0,0
"2020-05-03",utla,E06000001,Hartlepool,54,55,2,2
"2020-05-02",utla,E06000001,Hartlepool,52,53,1,2
"2020-05-01",utla,E06000001,Hartlepool,51,51,2,2
"2020-04-30",utla,E06000001,Hartlepool,49,49,1,1
"2020-04-29",utla,E06000001,Hartlepool,48,48,2,2
"2020-04-28",utla,E06000001,Hartlepool,46,46,2,2
"2020-04-27",utla,E06000001,Hartlepool,44,44,0,0
"2020-04-26",utla,E06000001,Hartlepool,44,44,1,1
"2020-04-25",utla,E06000001,Hartlepool,43,43,2,2
"2020-04-24",utla,E06000001,Hartlepool,41,41,0,0
"2020-04-23",utla,E06000001,Hartlepool,41,41,6,6
"2020-04-22",utla,E06000001,Hartlepool,35,35,5,5
"2020-04-21",utla,E06000001,Hartlepool,30,30,1,1
"2020-04-20",utla,E06000001,Hartlepool,29,29,4,4
"2020-04-19",utla,E06000001,Hartlepool,25,25,1,1
"2020-04-18",utla,E06000001,Hartlepool,24,24,1,1
"2020-04-17",utla,E06000001,Hartlepool,23,23,1,1
"2020-04-16",utla,E06000001,Hartlepool,22,22,1,1
"2020-04-15",utla,E06000001,Hartlepool,21,21,1,1
"2020-04-14",utla,E06000001,Hartlepool,20,20,4,4
"2020-04-13",utla,E06000001,Hartlepool,16,16,1,1
"2020-04-12",utla,E06000001,Hartlepool,15,15,1,1
"2020-04-11",utla,E06000001,Hartlepool,14,14,1,1
